Epoch [1/4000], Loss_train: 845.1542, PSNR_train: 20.4996, Loss_valid: 106.0829, PSNR_valid: 28.0528, Time_cost: 19.75 seconds
Epoch [2/4000], Loss_train: 136.5589, PSNR_train: 28.2231, Loss_valid: 98.3286, PSNR_valid: 28.4336, Time_cost: 16.85 seconds
Epoch [3/4000], Loss_train: 130.1421, PSNR_train: 28.5657, Loss_valid: 88.1630, PSNR_valid: 28.9959, Time_cost: 16.88 seconds
Epoch [4/4000], Loss_train: 121.1729, PSNR_train: 29.0592, Loss_valid: 79.9959, PSNR_valid: 29.5100, Time_cost: 16.85 seconds
Epoch [5/4000], Loss_train: 113.0107, PSNR_train: 29.5599, Loss_valid: 74.0814, PSNR_valid: 29.9267, Time_cost: 16.70 seconds
Epoch [6/4000], Loss_train: 109.5929, PSNR_train: 29.9443, Loss_valid: 70.1103, PSNR_valid: 30.2328, Time_cost: 16.90 seconds
Epoch [7/4000], Loss_train: 102.4694, PSNR_train: 30.2581, Loss_valid: 67.5163, PSNR_valid: 30.4484, Time_cost: 16.91 seconds
Epoch [8/4000], Loss_train: 97.9457, PSNR_train: 30.4920, Loss_valid: 65.8563, PSNR_valid: 30.5962, Time_cost: 17.11 seconds
Epoch [9/4000], Loss_train: 103.8278, PSNR_train: 30.5064, Loss_valid: 64.7178, PSNR_valid: 30.7033, Time_cost: 17.03 seconds
Epoch [10/4000], Loss_train: 100.9808, PSNR_train: 30.5718, Loss_valid: 63.8768, PSNR_valid: 30.7875, Time_cost: 16.79 seconds
Epoch [11/4000], Loss_train: 97.3777, PSNR_train: 30.7018, Loss_valid: 63.1962, PSNR_valid: 30.8596, Time_cost: 16.84 seconds
Epoch [12/4000], Loss_train: 100.9117, PSNR_train: 30.7690, Loss_valid: 62.6117, PSNR_valid: 30.9248, Time_cost: 16.73 seconds
Epoch [13/4000], Loss_train: 95.0483, PSNR_train: 31.2130, Loss_valid: 62.0618, PSNR_valid: 30.9880, Time_cost: 16.67 seconds
Epoch [14/4000], Loss_train: 100.8594, PSNR_train: 30.9177, Loss_valid: 61.5474, PSNR_valid: 31.0484, Time_cost: 16.80 seconds
Epoch [15/4000], Loss_train: 94.3175, PSNR_train: 31.1403, Loss_valid: 61.0612, PSNR_valid: 31.1074, Time_cost: 17.17 seconds
Epoch [16/4000], Loss_train: 99.6647, PSNR_train: 31.1095, Loss_valid: 60.6040, PSNR_valid: 31.1631, Time_cost: 17.13 seconds
Epoch [17/4000], Loss_train: 104.8672, PSNR_train: 30.7669, Loss_valid: 60.1539, PSNR_valid: 31.2190, Time_cost: 16.82 seconds
Epoch [18/4000], Loss_train: 108.4686, PSNR_train: 31.0037, Loss_valid: 59.6977, PSNR_valid: 31.2760, Time_cost: 16.96 seconds
Epoch [19/4000], Loss_train: 94.6077, PSNR_train: 31.4747, Loss_valid: 59.2716, PSNR_valid: 31.3299, Time_cost: 16.91 seconds
Epoch [20/4000], Loss_train: 95.2692, PSNR_train: 31.5156, Loss_valid: 58.8559, PSNR_valid: 31.3838, Time_cost: 16.76 seconds
